"id","title","author","issue","volume","venue","page","pub_date","type","publisher","editor"
"omid:br/060924 doi:10.4230/lipics.fun.2021.11","Efficient Algorithms For Battleship","Crombez, Loïc [omid:ra/062503694315 orcid:0000-0002-9542-5276]; Fonseca, Guilherme D. Da [omid:ra/0612046462 orcid:0000-0002-9807-028X]; Gerard, Yan [omid:ra/0612046189 orcid:0000-0002-2664-0650]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0607497]","Farach, Martin [omid:ra/0614045842 orcid:0000-0003-3616-7788]; Prencipe, Giuseppe [omid:ra/0625025102 orcid:0000-0001-5646-7388]; Uehara, Ryuhei [omid:ra/0617014675 orcid:0000-0003-0895-3765]"
"omid:br/060476 doi:10.4230/lipics.cp.2021.8","Integrating Tree Decompositions Into Decision Heuristics Of Propositional Model Counters (Short Paper)","Korhonen, Tuukka [omid:ra/06220101943 orcid:0000-0003-0861-6515]; Järvisalo, Matti [omid:ra/061409245 orcid:0000-0003-2572-063X]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606217]","Michel, Laurent D. [omid:ra/0606095 orcid:0000-0001-7230-7130]"
"omid:br/060257 doi:10.4230/lipics.approx/random.2021.19","On Two-Pass Streaming Algorithms For Maximum Bipartite Matching","Konrad, Christian [omid:ra/06609362678 orcid:0000-0003-1802-4011]; Naidu, Kheeran K. [omid:ra/0605459 orcid:0000-0002-5946-4702]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0605460]","Wootters, Mary [omid:ra/0624053021 orcid:0000-0002-2345-2531]; Sanità, Laura [omid:ra/0690108433 orcid:0000-0002-6384-1857]"
"omid:br/06083 doi:10.4324/9781315372884 doi:10.1201/9781315372884 isbn:9781482244342 isbn:9781482244359","Super-Resolution Imaging In Biomedicine","[omid:ar/0605548]; [omid:ar/0605550]; [omid:ar/0605549]","","","Series In Cellular And Clinical Imaging [omid:br/060155 doi:10.1201/crcsercelcli issn:2372-3939]","","2016-11-03","reference book","Informa Uk Limited [omid:ra/0610116005 crossref:301]","Diaspro, Alberto [omid:ra/0603396]; Van Zandvoort, Marc A. M. J. [omid:ra/0603397]"
"omid:br/060730 doi:10.4230/lipics.esa.2020.47","Coresets For The Nearest-Neighbor Rule","Flores-Velazco, Alejandro [omid:ra/062502588552 orcid:0000-0003-0868-9802]; Mount, David M. [omid:ra/065061917 orcid:0000-0002-3290-8932]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606977]","Grandoni, Fabrizio [omid:ra/06802771872 orcid:0000-0002-9676-4931]; Herman, Grzegorz [omid:ra/0622087885 orcid:0000-0001-6855-8316]; Sanders, Peter [omid:ra/0619054475 orcid:0000-0003-3330-9349]"
"omid:br/06041 doi:10.1002/1522-239x(200205)113:1/2<152::aid-fedr152>3.0.co;2-1","Macrofungi And Bryophytes Of Montane Mires (Tuscany, Italy): Organisms Worthy Of Conservation","Perini, C. [omid:ra/060214]; Bonini, I. [omid:ra/060215]; Romagnoli, P. [omid:ra/060216]; Antonini, D. [omid:ra/060217]; Antonini, M. [omid:ra/060218]","1-2","113","Feddes Repertorium [omid:br/069039310 doi:10.1002/(issn)1522-239x issn:0014-8962 issn:1522-239X issn:0374-6577]","152-160","2002-05","journal article","Wiley [omid:ra/0610116001 crossref:311]",""
"omid:br/060688 doi:10.4230/lipics.ecrts.2021.12","Feasibility Analysis Of Conditional DAG Tasks","Baruah, Sanjoy [omid:ra/0606849]; Marchetti-Spaccamela, Alberto [omid:ra/0606850]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606851]","Brandenburg, Björn [omid:ra/061702180896 orcid:0000-0001-8254-3815]"
"omid:br/060925 doi:10.4230/lipics.fun.2021.12","A Phase Transition In Minesweeper","Dempsey, Ross [omid:ra/067089772 orcid:0000-0002-0881-8814]; Guinn, Charles [omid:ra/0607498 orcid:0000-0002-5337-5821]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0607499]","Farach, Martin [omid:ra/0614045842 orcid:0000-0003-3616-7788]; Prencipe, Giuseppe [omid:ra/0625025102 orcid:0000-0001-5646-7388]; Uehara, Ryuhei [omid:ra/0617014675 orcid:0000-0003-0895-3765]"
"omid:br/060262 doi:10.4230/lipics.approx/random.2021.28","Better Pseudodistributions And Derandomization For Space-Bounded Computation","Hoza, William M. [omid:ra/065010393256 orcid:0000-0001-5162-9181]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0605473]","Wootters, Mary [omid:ra/0624053021 orcid:0000-0002-2345-2531]; Sanità, Laura [omid:ra/0690108433 orcid:0000-0002-6384-1857]"
"omid:br/060694 doi:10.4230/lipics.ecrts.2021.5","nDimNoC: Real-Time D-dimensional NoC","Ribot Gonzalez, Yilian [omid:ra/0670537377 orcid:0000-0002-4089-7794]; Nelissen, Geoffrey [omid:ra/06307576 orcid:0000-0003-4141-6718]; Tovar, Eduardo [omid:ra/0606868]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606869]","Brandenburg, Björn [omid:ra/061702180896 orcid:0000-0001-8254-3815]"
"omid:br/060135 isbn:9780631223429 doi:10.1002/9780470997048 doi:10.1111/b.9780631223429.2003.x isbn:9780470997048","The Blackwell Companion To Political Theology","[omid:ar/0607193]; [omid:ar/0607192]; [omid:ar/0607191]","","","","","2004","reference book","Wiley [omid:ra/0610116001 crossref:311]","Scott, Peter [omid:ra/0604326]; Cavanaugh, William T. [omid:ra/0604327]"
"omid:br/060547 doi:10.4230/lipics.disc.2020.11","Communication Efficient Self-Stabilizing Leader Election","Défago, Xavier [omid:ra/0610110040 orcid:0000-0002-2377-205X]; Emek, Yuval [omid:ra/0606394]; Kutten, Shay [omid:ra/0606395]; Masuzawa, Toshimitsu [omid:ra/0606396]; Tamura, Yasumasa [omid:ra/0606397]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606398]","Attiya, Hagit [omid:ra/0614045824 orcid:0000-0002-8017-6457]"
"omid:br/060815 doi:10.4230/lipics.esa.2021.69","Generalized Max-Flows And Min-Cuts In Simplicial Complexes","Maxwell, William [omid:ra/0607201]; Nayyeri, Amir [omid:ra/0607202]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0607203]","Mutzel, Petra [omid:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [omid:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [omid:ra/0622087885 orcid:0000-0001-6855-8316]"
"omid:br/060622 doi:10.4230/lipics.dna.27.9","Predicting Minimum Free Energy Structures Of Multi-Stranded Nucleic Acid Complexes Is APX-Hard","Condon, Anne [omid:ra/067073434 orcid:0000-0003-1458-1259]; Hajiaghayi, Monir [omid:ra/0606681]; Thachuk, Chris [omid:ra/061601374869 orcid:0000-0001-5913-1732]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606682]","Lakin, Matthew R. [omid:ra/0613084579 orcid:0000-0002-8516-4789]; Šulc, Petr [omid:ra/0613032521 orcid:0000-0003-1565-6769]"
"omid:br/06013 doi:10.1002/(sici)1097-0142(19990501)85:9<1925::aid-cncr7>3.0.co;2-q","A Simplified Regimen Of Weekly High Dose 5-Fluorouracil And Leucovorin As A 24-Hour Infusion In Patients With Advanced Colorectal Carcinoma","Yang, Tsai-Shen [omid:ra/06053]; Hsu, Kuan-Cheng [omid:ra/06054]; Chiang, Jy-Ming [omid:ra/06055]; Tang, Reiping [omid:ra/06056]; Chen, Jinn-Shium [omid:ra/06057]; Changchien, Chung-Rong [omid:ra/06058]; Wang, Jeng-Yi [omid:ra/06059]","9","85","Cancer [omid:br/066016153 doi:10.1002/(issn)1097-0142 issn:1097-0142 issn:0008-543X]","1925-1930","1999-05-01","journal article","Wiley [omid:ra/0610116001 crossref:311]",""
"omid:br/06042 doi:10.1002/1522-239x(200205)113:1/2<7::aid-fedr7>3.0.co;2-5","Tulostoma Kreiselii, A New Species From Tunisia, Northern Africa","Moreno, G. [omid:ra/060219]; Horak, E. [omid:ra/060220]; Altés, A. [omid:ra/060221]","1-2","113","Feddes Repertorium [omid:br/069039310 doi:10.1002/(issn)1522-239x issn:0014-8962 issn:1522-239X issn:0374-6577]","7-10","2002-05","journal article","Wiley [omid:ra/0610116001 crossref:311]",""
"omid:br/060366 doi:10.4230/lipics.concur.2020.13","Session Types With Arithmetic Refinements","Das, Ankush [omid:ra/0640102670 orcid:0000-0003-2459-1258]; Pfenning, Frank [omid:ra/0605881]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0605882]","Konnov, Igor [omid:ra/061803159 orcid:0000-0001-6629-3377]; Kovács, Laura [omid:ra/0614082191 orcid:0000-0002-8299-2714]"
"omid:br/060633 doi:10.4230/lipics.ecoop.2020.2","Perfect Is The Enemy Of Good: Best-Effort Program Synthesis","Peleg, Hila [omid:ra/06206654592 orcid:0000-0002-0107-5659]; Polikarpova, Nadia [omid:ra/0624095289 orcid:0000-0001-5571-173X]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606703]","Hirschfeld, Robert [omid:ra/06220110568 orcid:0000-0002-4249-6003]; Pape, Tobias [omid:ra/064027235 orcid:0000-0003-0110-6918]"
"omid:br/060910 doi:10.4230/lipics.fsttcs.2020.47","Reachability For Updatable Timed Automata Made Faster And More Effective","Gastin, Paul [omid:ra/068098519 orcid:0000-0002-1313-7722]; Mukherjee, Sayan [omid:ra/061106381543 orcid:0000-0001-6473-3172]; Srivathsan, B. [omid:ra/06230108607 orcid:0000-0003-2666-0691]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0607463]","Saxena, Nitin [omid:ra/064038085 orcid:0000-0001-6931-898X]; Simon, Sunil [omid:ra/06809004712 orcid:0000-0002-7489-7477]"
"omid:br/060680 doi:10.4230/lipics.ecrts.2020.3","PAStime: Progress-Aware Scheduling For Time-Critical Computing","Sinha, Soham [omid:ra/06110102189 orcid:0000-0001-8962-4714]; West, Richard [omid:ra/0670538553 orcid:0000-0001-5100-0666]; Golchin, Ahmad [omid:ra/0606834]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606835]","Völp, Marcus [omid:ra/063054017 orcid:0000-0002-8020-4446]"
"omid:br/06076 issn:2411-8974","World Youth Report","","","","","","","book series","",""
"omid:br/060800 doi:10.4230/lipics.esa.2021.49","Faster (1+ε)-Approximation For Unsplittable Flow On A Path Via Resource Augmentation And Back","Grandoni, Fabrizio [omid:ra/06802771872 orcid:0000-0002-9676-4931]; Mömke, Tobias [omid:ra/0610110091 orcid:0000-0002-2509-6972]; Wiese, Andreas [omid:ra/066013110 orcid:0000-0003-3705-016X]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0607163]","Mutzel, Petra [omid:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [omid:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [omid:ra/0622087885 orcid:0000-0001-6855-8316]"
"omid:br/060783 doi:10.4230/lipics.esa.2021.27","All-Pairs Shortest Paths For Real-Weighted Undirected Graphs With Small Additive Error","Chan, Timothy M. [omid:ra/0623096584 orcid:0000-0002-8093-0675]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0607118]","Mutzel, Petra [omid:ra/0613010730 orcid:0000-0001-7621-971X]; Pagh, Rasmus [omid:ra/065093548 orcid:0000-0002-1516-9306]; Herman, Grzegorz [omid:ra/0622087885 orcid:0000-0001-6855-8316]"
"omid:br/060178","Critical Issues In Social Justice","","","","","","","book series","",""
"omid:br/060375 doi:10.4230/lipics.concur.2020.22","Decidability Of Cutpoint Isolation For Probabilistic Finite Automata On Letter-Bounded Inputs","Bell, Paul [omid:ra/0612046523 orcid:0000-0003-2620-635X]; Semukhin, Pavel [omid:ra/06107883 orcid:0000-0002-7547-6391]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0605911]","Konnov, Igor [omid:ra/061803159 orcid:0000-0001-6629-3377]; Kovács, Laura [omid:ra/0614082191 orcid:0000-0002-8299-2714]"
"omid:br/060431 doi:10.4230/lipics.concur.2021.4","Nominal Büchi Automata With Name Allocation","Urbat, Henning [omid:ra/0606079 orcid:0000-0002-3265-7168]; Hausmann, Daniel [omid:ra/0615094627 orcid:0000-0002-0935-8602]; Milius, Stefan [omid:ra/0612046190 orcid:0000-0002-2021-1644]; Schröder, Lutz [omid:ra/0624014376 orcid:0000-0002-3146-5906]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606080]","Haddad, Serge [omid:ra/06407027331 orcid:0000-0002-1759-1201]; Varacca, Daniele [omid:ra/0606081]"
"omid:br/060647 doi:10.4230/lipics.ecoop.2020.7","K-LLVM: A Relatively Complete Semantics Of LLVM IR","Li, Liyi [omid:ra/0604384 orcid:0000-0001-8184-0244]; Gunter, Elsa L. [omid:ra/0606745]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606746]","Hirschfeld, Robert [omid:ra/06220110568 orcid:0000-0002-4249-6003]; Pape, Tobias [omid:ra/064027235 orcid:0000-0003-0110-6918]"
"omid:br/060848 doi:10.4230/lipics.fscd.2020.22","Size-Preserving Translations From Order-(n+1) Word Grammars To Order-n Tree Grammars","Asada, Kazuyuki [omid:ra/062602385732 orcid:0000-0001-8782-2119]; Kobayashi, Naoki [omid:ra/0615033524 orcid:0000-0002-0537-0604]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0607304]","Zena M. Ariola [omid:ra/0607305]"
"omid:br/060968 doi:10.4230/lipics.icalp.2020.118","A Recipe For Quantum Graphical Languages","Carette, Titouan [omid:ra/0607628]; Jeandel, Emmanuel [omid:ra/0607629]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0607630]","Artur Czumaj [omid:ra/0607590 orcid:0000-0002-7743-438X]; Dawar, Anuj [omid:ra/067073847 orcid:0000-0003-4014-8248]; Merelli, Emanuela [omid:ra/068015430 orcid:0000-0002-1321-4134]"
"omid:br/060459 doi:10.4230/lipics.cp.2021.36","Utilizing Constraint Optimization For Industrial Machine Workload Balancing","Kovács, Benjamin [omid:ra/0606165]; Tassel, Pierre [omid:ra/0606166]; Kohlenbrein, Wolfgang [omid:ra/0606167]; Schrott-Kostwein, Philipp [omid:ra/0606168]; Gebser, Martin [omid:ra/0606169]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606170]","Michel, Laurent D. [omid:ra/0606095 orcid:0000-0001-7230-7130]"
"omid:br/060529 doi:10.4230/lipics.csl.2021.28","Domain Theory In Constructive And Predicative Univalent Foundations","De Jong, Tom [omid:ra/061901603606 orcid:0000-0003-1585-3172]; Escardó, Martín [omid:ra/061901603595 orcid:0000-0002-4091-6334]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606356]","Baier, Christel [omid:ra/067062032 orcid:0000-0002-5321-9343]; Goubault-Larrecq, Jean [omid:ra/0624014097 orcid:0000-0001-5879-3304]"
"omid:br/060674 doi:10.4230/lipics.ecrts.2020.16","Discriminative Coherence: Balancing Performance And Latency Bounds In Data-Sharing Multi-Core Real-Time Systems","Hassan, Mohamed [omid:ra/0606820]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606821]","Völp, Marcus [omid:ra/063054017 orcid:0000-0002-8020-4446]"
"omid:br/060101 doi:10.4324/9780203302255 isbn:9780203356159 isbn:9780203302255 doi:10.3109/9780203302255","Malaria In Pregnancy","Fried, Michal [omid:ra/0604254]; Washington, [omid:ra/0604255]; Usa, [omid:ra/0604256]; [omid:ra/0604257]; Walter Reed Army Institute Of Research [omid:ra/06809888476]","","","","","2001-10-18","reference book","Informa Uk Limited [omid:ra/0610116005 crossref:301]","Duffy, Patrick E. [omid:ra/0604258]; Fried, Michael [omid:ra/0604259]; Duffy, Patrick E [omid:ra/06809888477]"
"omid:br/060299 doi:10.4230/lipics.ccc.2020.16","On The Quantum Complexity Of Closest Pair And Related Problems","Aaronson, Scott [omid:ra/0605613]; Chia, Nai-Hui [omid:ra/0605614]; Lin, Han-Hsuan [omid:ra/0605615]; Wang, Chunhao [omid:ra/0605616]; Zhang, Ruizhe [omid:ra/0605617]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0605618]","Shubhangi Saraf [omid:ra/0605619]"
"omid:br/060464 doi:10.4230/lipics.cp.2021.44","Enabling Incrementality In The Implicit Hitting Set Approach To MaxSAT Under Changing Weights","Niskanen, Andreas [omid:ra/0616087193 orcid:0000-0003-3197-2075]; Berg, Jeremias [omid:ra/0626092024 orcid:0000-0001-7660-8061]; Järvisalo, Matti [omid:ra/061409245 orcid:0000-0003-2572-063X]","","","LIPIcs : Leibniz International Proceedings In Informatics [omid:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [omid:ra/0606185]","Michel, Laurent D. [omid:ra/0606095 orcid:0000-0001-7230-7130]"